problem_name,problem_approach,n,p,run_id,cycles,instructions,cache-references,cache-misses,bus-cycles,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,dTLB-loads,dTLB-load-misses,LLC-loads,LLC-load-misses,LLC-stores,branches,branch-misses,context-switches,cpu-migrations,page-faults
divide_and_conquer,pi_reduction,100,2,3,26999361.0,11581732.0,489061.0,179551.0,1127119.0,917670.0,404169.0,5949391.0,11908592.0,65486.0,96781.0,23233.0,11221.0,17983884.0,485635.0,530.0,80.0,1489.0
divide_and_conquer,pi_reduction,100,2,2,6953767.0,2302085.0,116979.0,63824.0,334246.0,1049402.0,245922.0,273673.0,574365.0,4341.0,157328.0,64195.0,23048.0,1891468.0,96001.0,107.0,30.0,105.0
divide_and_conquer,pi_reduction,100,2,5,14576258.0,8027289.0,231882.0,144141.0,689295.0,644688.0,206896.0,832098.0,643393.0,6021.0,44723.0,30346.0,1273.0,566463.0,24753.0,41.0,3.0,97.0
divide_and_conquer,pi_reduction,100,2,4,8436534.0,2509114.0,136901.0,78390.0,402511.0,456489.0,65794.0,420123.0,1161101.0,15281.0,45073.0,34974.0,1790.0,526790.0,23603.0,41.0,4.0,97.0
divide_and_conquer,pi_reduction,50000,2,1,15283154.0,6388866.0,233402.0,58269.0,668129.0,568141.0,219421.0,1073753.0,1769703.0,6817.0,102160.0,61221.0,18026.0,1742354.0,60254.0,138.0,11.0,100.0
divide_and_conquer,pi_reduction,50000,2,3,38599305.0,9949948.0,585330.0,300272.0,1660678.0,20086772.0,885359.0,4289372.0,5275219.0,32625.0,697531.0,425814.0,101930.0,4119887.0,166715.0,319.0,46.0,140.0
divide_and_conquer,pi_reduction,50000,2,2,8657875.0,3448829.0,133753.0,79475.0,412445.0,6352776.0,537198.0,302531.0,698283.0,23350.0,42521.0,11161.0,8652.0,5503014.0,177795.0,295.0,37.0,125.0
divide_and_conquer,pi_reduction,50000,2,5,7216717.0,3349421.0,110788.0,47319.0,374416.0,1955031.0,206559.0,347786.0,205865.0,4021.0,46700.0,12508.0,7924.0,647037.0,21357.0,35.0,3.0,94.0
divide_and_conquer,pi_reduction,50000,2,4,8414199.0,3467742.0,127660.0,77501.0,401668.0,1906522.0,219881.0,530762.0,433684.0,6144.0,48163.0,11818.0,8460.0,686396.0,23374.0,39.0,5.0,94.0
divide_and_conquer,pi_reduction,50000,1,1,80643576.0,101174202.0,653082.0,446023.0,2738759.0,15370648.0,289666.0,3108344.0,1005288.0,33564.0,39440.0,11268.0,8711.0,621937.0,20829.0,35.0,3.0,94.0
divide_and_conquer,pi_reduction,50000,1,3,53774198.0,21113543.0,980950.0,382294.0,2144604.0,1242197.0,234711.0,976080.0,707503.0,6866.0,48029.0,14353.0,2173.0,1722626.0,66586.0,113.0,12.0,94.0
divide_and_conquer,pi_reduction,50000,1,2,8150144.0,3207206.0,113640.0,51565.0,394760.0,25826075.0,667920.0,9331001.0,2884577.0,54171.0,15741.0,27071.0,10060.0,638923.0,20190.0,29.0,2.0,95.0
divide_and_conquer,pi_reduction,50000,1,5,6705081.0,3302860.0,106221.0,43844.0,345725.0,831109.0,263362.0,1458534.0,3805794.0,12542.0,21179.0,26554.0,9934.0,670873.0,27803.0,45.0,4.0,92.0
divide_and_conquer,pi_reduction,50000,1,4,9590330.0,3966194.0,161618.0,91312.0,532237.0,1479136.0,216787.0,544164.0,1270528.0,11526.0,43554.0,18942.0,7628.0,655740.0,21226.0,36.0,3.0,96.0
divide_and_conquer,pi_reduction,100,3,1,14487906.0,6134843.0,114975.0,58034.0,625519.0,548501.0,72060.0,851336.0,1220836.0,8024.0,45255.0,12256.0,8151.0,1747013.0,25993.0,45.0,3.0,96.0
divide_and_conquer,pi_reduction,100,3,3,82556613.0,34829037.0,1321968.0,445696.0,3714814.0,989297.0,216217.0,97819.0,468829.0,7622.0,448593.0,194538.0,52383.0,4478697.0,177676.0,290.0,39.0,127.0
divide_and_conquer,pi_reduction,100,3,2,68465347.0,25434225.0,1162326.0,376983.0,2567228.0,3063978.0,734727.0,4647320.0,6202524.0,38757.0,336728.0,108225.0,45479.0,1865881.0,69566.0,146.0,17.0,103.0
divide_and_conquer,pi_reduction,100,3,5,9544925.0,2934141.0,151931.0,97003.0,455846.0,1122710.0,222683.0,303818.0,720580.0,4851.0,50512.0,11958.0,9797.0,526505.0,25560.0,37.0,4.0,96.0
divide_and_conquer,pi_reduction,100,3,4,7431889.0,2788132.0,128497.0,37071.0,394552.0,1484296.0,214975.0,735989.0,720991.0,6744.0,20309.0,32150.0,10487.0,546544.0,26140.0,42.0,3.0,100.0
